"energy","valence","Count"
0.666,0.765,420
0.748,0.829,420
0.728,0.84,419
0.682,0.634,418
0.559,0.62,417
0.769,0.973,416
0.493,0.176,415
0.477,0.57,414
0.812,0.571,414
0.573,0.516,413
0.807,0.575,413
0.815,0.564,413
0.927,0.702,413
0.752,0.528,412
0.794,0.565,412
0.541,0.106,409
0.643,0.645,409
0.803,0.722,409
0.63,0.789,408
0.743,0.571,408
0.866,0.647,408
0.744,0.627,407
0.96,0.586,407
0.512,0.0662,405
0.259,0.836,404
0.481,0.714,404
0.412,0.15,403
0.761,0.215,402
0.246,0.388,401
0.373,0.38,399
0.431,0.246,399
0.574,0.592,399
0.501,0.669,398
0.555,0.64,398
0.757,0.957,396
0.935,0.602,396
0.658,0.534,395
0.562,0.259,394
0.675,0.735,394
0.52,0.38,392
0.755,0.199,392
0.566,0.68,389
0.636,0.857,388
0.631,0.866,387
0.562,0.569,386
0.607,0.38,386
0.7,0.624,385
0.717,0.695,385
0.855,0.966,384
0.935,0.559,383
0.693,0.572,381
0.287,0.191,378
0.749,0.515,378
0.444,0.36,377
0.715,0.542,377
0.878,0.677,377
0.665,0.864,376
0.284,0.276,375
0.449,0.34,375
0.491,0.234,374
0.557,0.211,372
0.777,0.589,372
0.599,0.801,371
0.715,0.497,370
0.557,0.468,366
0.579,0.817,366
0.707,0.744,366
0.861,0.759,366
0.366,0.168,364
0.607,0.498,364
0.687,0.531,363
0.587,0.664,361
0.763,0.61,361
0.677,0.195,360
0.752,0.684,360
0.61,0.718,359
0.976,0.523,359
0.486,0.792,357
0.839,0.882,357
0.452,0.613,355
0.543,0.409,354
0.673,0.488,351
0.773,0.173,351
0.944,0.681,350
0.785,0.529,349
0.858,0.96,349
0.525,0.508,347
0.413,0.306,346
0.711,0.798,346
0.773,0.504,346
0.512,0.802,345
0.436,0.196,344
0.718,0.604,344
0.659,0.8,342
0.467,0.182,341
0.68,0.71,341
0.864,0.542,341
0.433,0.192,340
0.541,0.49,340
0.517,0.686,339
0.52,0.225,339
0.614,0.258,339
0.586,0.663,338
0.643,0.349,338
0.834,0.962,337
0.768,0.972,336
0.792,0.572,336
0.654,0.799,334
0.511,0.771,333
0.707,0.743,333
0.737,0.489,333
0.685,0.54,332
0.252,0.0395,331
0.633,0.319,331
0.678,0.254,331
0.695,0.784,331
0.54,0.372,330
0.541,0.735,329
0.602,0.541,329
0.357,0.14,326
0.509,0.796,326
0.584,0.594,324
0.78,0.939,324
0.228,0.522,322
0.54,0.331,322
0.834,0.95,322
0.849,0.609,320
0.362,0.385,319
0.697,0.774,319
0.54,0.82,318
0.578,0.757,318
0.671,0.156,318
0.63,0.359,317
0.657,0.567,317
0.758,0.0603,317
0.773,0.895,317
0.441,0.693,316
0.692,0.454,315
0.534,0.463,314
0.678,0.757,314
0.865,0.768,314
0.675,0.742,313
0.872,0.577,313
0.328,0.532,312
0.722,0.912,312
0.799,0.552,312
0.802,0.811,312
0.628,0.43,309
0.84,0.466,309
0.42,0.506,308
0.562,0.436,307
0.758,0.318,306
0.427,0.733,305
0.692,0.897,305
0.813,0.629,305
0.641,0.514,304
0.707,0.765,304
0.763,0.226,304
0.812,0.725,304
0.271,0.399,303
0.3,0.646,303
0.325,0.442,303
0.371,0.187,303
0.464,0.143,303
0.467,0.453,303
0.49,0.275,303
0.498,0.222,303
0.523,0.721,303
0.527,0.234,303
0.53,0.47,303
0.531,0.613,303
0.548,0.629,303
0.578,0.677,303
0.59,0.66,303
0.591,0.562,303
0.638,0.641,303
0.641,0.63,303
0.669,0.378,303
0.675,0.443,303
0.679,0.838,303
0.696,0.559,303
0.707,0.561,303
0.727,0.328,303
0.742,0.459,303
0.758,0.537,303
0.761,0.424,303
0.769,0.466,303
0.8,0.846,303
0.822,0.565,303
0.837,0.831,303
0.861,0.387,303
0.885,0.31,303
0.891,0.748,303
0.913,0.747,303
0.943,0.64,303
0.975,0.742,303
0.387,0.425,302
0.452,0.266,302
0.476,0.443,302
0.519,0.628,302
0.552,0.0665,302
0.633,0.571,302
0.641,0.601,302
0.67,0.446,302
0.723,0.435,302
0.803,0.246,302
0.808,0.638,302
0.815,0.823,302
0.836,0.819,302
0.856,0.614,302
0.865,0.51,302
0.236,0.33,301
0.467,0.224,301
0.552,0.237,301
0.588,0.507,301
0.688,0.881,301
0.787,0.736,301
0.803,0.403,301
0.394,0.327,300
0.545,0.589,300
0.642,0.494,300
0.736,0.691,300
0.776,0.625,300
0.917,0.771,300
0.507,0.551,299
0.537,0.379,299
0.551,0.479,299
0.589,0.418,299
0.711,0.661,299
0.711,0.766,299
0.749,0.331,299
0.755,0.32,299
0.773,0.907,299
0.784,0.744,299
0.801,0.914,299
0.413,0.355,298
0.436,0.0988,298
0.506,0.464,298
0.619,0.388,298
0.664,0.437,298
0.67,0.509,298
0.699,0.915,298
0.716,0.492,298
0.786,0.488,298
0.786,0.651,298
0.855,0.819,298
0.881,0.737,298
0.908,0.887,298
0.487,0.431,297
0.501,0.623,297
0.581,0.372,297
0.726,0.532,297
0.15,0.397,296
0.429,0.548,296
0.608,0.447,296
0.69,0.492,296
0.858,0.364,296
0.192,0.159,295
0.462,0.519,295
0.489,0.502,294
0.773,0.498,294
0.234,0.333,293
0.517,0.54,293
0.866,0.62,293
0.903,0.964,293
0.624,0.642,292
0.818,0.438,292
0.322,0.508,291
0.433,0.334,291
0.464,0.375,291
0.471,0.229,291
0.647,0.822,291
0.694,0.826,291
0.699,0.702,291
0.941,0.961,291
0.118,0.552,290
0.358,0.524,290
0.475,0.234,290
0.554,0.396,290
0.632,0.382,290
0.662,0.257,290
0.733,0.753,290
0.786,0.408,290
0.871,0.638,290
0.11,0.385,289
0.583,0.97,289
0.606,0.0758,289
0.825,0.614,289
0.83,0.187,289
0.845,0.961,289
0.86,0.618,289
0.902,0.554,289
0.579,0.694,288
0.703,0.824,288
0.464,0.15,287
0.55,0.491,287
0.653,0.722,287
0.658,0.467,287
0.767,0.795,287
0.927,0.97,287
0.0953,0.64,286
0.344,0.751,286
0.637,0.643,286
0.656,0.472,286
0.803,0.795,286
0.368,0.365,285
0.655,0.529,285
0.671,0.275,285
0.775,0.674,285
0.353,0.538,284
0.375,0.888,284
0.738,0.507,284
0.875,0.83,284
0.5,0.659,283
0.656,0.694,283
0.871,0.624,283
0.091,0.542,282
0.38,0.265,282
0.38,0.323,282
0.73,0.812,282
0.413,0.679,280
0.846,0.682,280
0.482,0.465,279
0.749,0.841,279
0.499,0.65,278
0.529,0.501,278
0.603,0.753,278
0.708,0.863,278
0.783,0.555,278
0.854,0.531,278
0.467,0.287,277
0.472,0.705,277
0.49,0.399,277
0.618,0.32,277
0.641,0.147,277
0.753,0.707,277
0.841,0.424,277
0.485,0.562,276
0.577,0.318,276
0.888,0.871,276
0.547,0.192,275
0.551,0.329,275
0.573,0.369,275
0.581,0.456,275
0.631,0.8,275
0.825,0.51,275
0.834,0.692,275
0.888,0.827,275
0.634,0.569,274
0.76,0.496,274
0.0915,0.813,273
0.551,0.397,273
0.688,0.447,273
0.69,0.315,273
0.758,0.819,273
0.1,0.641,272
0.486,0.262,272
0.682,0.582,272
0.718,0.91,272
0.843,0.953,272
0.36,0.181,271
0.475,0.674,271
0.539,0.368,271
0.5,0.367,270
0.644,0.461,269
0.674,0.319,269
0.795,0.736,269
0.389,0.176,268
0.5,0.789,268
0.515,0.368,268
0.552,0.617,268
0.569,0.551,268
0.574,0.436,268
0.617,0.387,268
0.123,0.351,267
0.438,0.302,267
0.636,0.458,267
0.72,0.715,267
0.557,0.369,266
0.693,0.869,266
0.716,0.871,266
0.757,0.429,266
0.836,0.778,266
0.505,0.396,265
0.638,0.444,265
0.653,0.85,265
0.685,0.873,265
0.85,0.722,265
0.856,0.794,265
0.131,0.115,264
0.452,0.158,264
0.703,0.465,264
0.718,0.491,264
0.416,0.518,263
0.551,0.29,263
0.851,0.886,263
0.513,0.41,262
0.535,0.479,262
0.612,0.425,262
0.643,0.591,262
0.643,0.94,262
0.77,0.743,262
0.306,0.369,261
0.564,0.212,261
0.565,0.57,261
0.569,0.775,261
0.614,0.363,261
0.765,0.492,261
0.867,0.23,261
0.391,0.195,260
0.68,0.546,260
0.889,0.616,260
0.753,0.63,259
0.915,0.304,259
0.338,0.238,258
0.373,0.338,258
0.673,0.332,258
0.711,0.722,258
0.807,0.878,258
0.175,0.635,257
0.541,0.365,257
0.657,0.514,257
0.683,0.234,257
0.721,0.307,257
0.774,0.416,257
0.807,0.654,257
0.824,0.292,257
0.825,0.878,257
0.454,0.282,256
0.628,0.612,256
0.77,0.971,256
0.414,0.652,255
0.446,0.168,255
0.587,0.646,255
0.357,0.211,254
0.539,0.239,254
0.95,0.543,254
0.642,0.757,253
0.764,0.137,253
0.838,0.783,253
0.851,0.342,253
0.29,0.0859,252
0.531,0.209,252
0.677,0.791,252
0.855,0.38,252
0.106,0.221,251
0.59,0.238,251
0.762,0.706,251
0.0326,0.44,250
0.546,0.217,250
0.568,0.111,250
0.675,0.744,250
0.694,0.27,250
0.873,0.718,250
0.907,0.506,250
0.21,0.706,249
0.453,0.465,249
0.623,0.443,249
0.613,0.634,248
0.659,0.567,248
0.477,0.437,247
0.56,0.492,247
0.583,0.908,247
0.602,0.602,247
0.632,0.282,247
0.647,0.828,247
0.118,0.6,246
0.441,0.714,246
0.765,0.514,246
0.421,0.385,245
0.44,0.308,245
0.667,0.693,245
0.664,0.675,244
0.803,0.801,244
0.484,0.356,242
0.564,0.505,242
0.661,0.337,242
0.381,0.241,241
0.722,0.57,241
0.3,0.374,240
0.325,0.525,240
0.394,0.345,240
0.552,0.531,240
0.636,0.319,240
0.436,0.353,239
0.455,0.608,239
0.639,0.298,239
0.677,0.594,239
0.793,0.418,239
0.696,0.65,238
0.703,0.48,238
0.706,0.585,238
0.804,0.827,238
0.861,0.963,238
0.867,0.24,238
0.36,0.131,237
0.423,0.303,237
0.486,0.671,237
0.489,0.559,237
0.524,0.276,237
0.761,0.553,237
0.797,0.444,237
0.842,0.716,237
0.274,0.25,236
0.495,0.26,236
0.6,0.572,236
0.744,0.925,236
0.88,0.854,236
0.0242,0.29,235
0.342,0.274,235
0.405,0.273,235
0.648,0.844,235
0.737,0.88,235
0.295,0.284,234
0.844,0.876,234
0.379,0.26,233
0.538,0.608,233
0.622,0.921,233
0.67,0.84,233
0.332,0.322,232
0.475,0.43,232
0.54,0.379,232
0.923,0.343,232
0.47,0.0569,231
0.612,0.945,231
0.741,0.762,231
0.862,0.799,231
0.918,0.662,231
0.117,0.671,230
0.485,0.778,230
0.585,0.461,230
0.682,0.263,230
0.747,0.56,230
0.816,0.516,230
0.817,0.553,230
0.605,0.238,229
0.609,0.866,229
0.792,0.684,229
0.418,0.249,228
0.506,0.322,228
0.522,0.476,228
0.6,0.518,228
0.811,0.443,228
0.855,0.817,228
0.354,0.241,227
0.403,0.563,227
0.41,0.361,227
0.669,0.736,227
0.768,0.361,227
0.903,0.726,227
0.582,0.624,226
0.65,0.624,226
0.658,0.629,226
0.696,0.209,226
0.702,0.861,226
0.714,0.444,226
0.785,0.695,226
0.594,0.302,225
0.64,0.184,225
0.668,0.631,225
0.839,0.48,225
0.871,0.677,225
0.905,0.0991,225
0.403,0.372,224
0.775,0.727,224
0.789,0.468,224
0.791,0.743,224
0.819,0.661,224
0.506,0.705,223
0.619,0.572,223
0.629,0.34,223
0.685,0.49,223
0.693,0.85,223
0.714,0.51,223
0.801,0.642,223
0.84,0.606,223
0.924,0.509,223
0.646,0.789,222
0.65,0.382,222
0.683,0.381,222
0.428,0.487,221
0.533,0.395,221
0.581,0.55,221
0.606,0.667,221
0.708,0.883,221
0.731,0.598,221
0.28,0.338,220
0.395,0.179,220
0.563,0.631,220
0.611,0.401,220
0.621,0.379,220
0.661,0.132,220
0.71,0.782,220
0.802,0.763,220
0.305,0.197,219
0.447,0.315,219
0.485,0.437,219
0.613,0.905,219
0.625,0.37,219
0.386,0.661,218
0.594,0.158,218
0.604,0.534,218
0.644,0.774,218
0.661,0.76,218
0.7,0.496,218
0.708,0.709,218
0.813,0.511,218
0.487,0.722,217
0.62,0.796,217
0.62,0.871,217
0.811,0.326,217
0.931,0.536,217
0.957,0.962,217
0.308,0.397,216
0.362,0.469,216
0.394,0.32,216
0.673,0.732,216
0.695,0.834,216
0.703,0.553,216
0.738,0.647,216
0.835,0.735,216
0.536,0.29,215
0.704,0.624,215
0.716,0.66,215
0.396,0.306,214
0.543,0.961,214
0.642,0.759,214
0.682,0.676,214
0.767,0.469,214
0.772,0.709,214
0.793,0.548,214
0.862,0.821,214
0.9,0.943,214
0.504,0.45,213
0.54,0.544,213
0.784,0.564,213
0.612,0.129,212
0.622,0.584,212
0.688,0.865,212
0.739,0.861,212
0.745,0.842,212
0.276,0.718,211
0.49,0.32,211
0.514,0.224,211
0.614,0.662,211
0.672,0.285,211
0.732,0.628,211
0.94,0.827,211
0.398,0.939,210
0.488,0.376,210
0.566,0.556,210
0.588,0.206,210
0.767,0.654,210
0.124,0.496,209
0.463,0.827,209
0.468,0.516,209
0.473,0.505,209
0.499,0.0348,209
0.516,0.465,209
0.526,0.394,209
0.785,0.93,209
0.788,0.33,209
0.158,0.247,208
0.421,0.261,208
0.473,0.167,208
0.556,0.373,208
0.614,0.704,208
0.643,0.748,208
0.691,0.656,208
0.708,0.826,208
0.779,0.96,208
0.402,0.293,207
0.526,0.896,207
0.601,0.389,207
0.651,0.4,207
0.704,0.644,207
0.81,0.686,207
0.837,0.685,207
0.751,0.68,206
0.779,0.399,206
0.842,0.814,206
0.533,0.214,205
0.562,0.561,205
0.786,0.456,205
0.786,0.961,205
0.806,0.713,205
0.915,0.902,205
0.149,0.606,204
0.649,0.74,204
0.663,0.38,204
0.39,0.788,203
0.428,0.404,203
0.445,0.693,203
0.585,0.613,203
0.672,0.626,203
0.684,0.57,203
0.688,0.316,203
0.709,0.529,203
0.726,0.866,203
0.494,0.77,202
0.571,0.257,202
0.704,0.795,202
0.871,0.572,202
0.892,0.797,202
0.946,0.621,202
0.405,0.619,201
0.41,0.51,201
0.627,0.864,201
0.629,0.485,201
0.514,0.757,200
0.551,0.428,200
0.564,0.552,200
0.616,0.542,200
0.655,0.389,200
0.726,0.6,200
0.822,0.879,200
0.627,0.427,199
0.805,0.572,199
0.649,0.592,198
0.667,0.3,198
0.68,0.454,198
0.716,0.817,198
0.372,0.919,197
0.59,0.732,197
0.632,0.289,197
0.774,0.65,197
0.438,0.622,196
0.636,0.695,196
0.662,0.0893,196
0.767,0.857,196
0.775,0.694,196
0.875,0.384,196
0.9,0.741,196
0.484,0.747,195
0.497,0.271,195
0.577,0.359,195
0.601,0.0767,195
0.645,0.884,195
0.674,0.219,195
0.812,0.563,195
0.82,0.709,195
0.845,0.948,195
0.905,0.71,195
0.346,0.107,194
0.471,0.497,194
0.48,0.452,194
0.492,0.234,194
0.501,0.619,194
0.553,0.273,194
0.573,0.438,194
0.598,0.534,194
0.768,0.534,194
0.773,0.667,194
0.78,0.446,194
0.819,0.645,194
0.875,0.657,194
0.907,0.696,194
0.48,0.41,193
0.524,0.13,193
0.54,0.499,193
0.558,0.547,193
0.6,0.235,193
0.656,0.609,193
0.668,0.431,193
0.674,0.964,193
0.778,0.623,193
0.812,0.538,193
0.835,0.769,193
0.866,0.91,193
0.916,0.711,193
0.939,0.709,193
0.365,0.452,192
0.72,0.426,192
0.728,0.18,192
0.746,0.433,192
0.747,0.567,192
0.832,0.887,192
0.518,0.451,191
0.522,0.601,191
0.618,0.534,191
0.689,0.669,191
0.729,0.527,191
0.759,0.36,191
0.827,0.568,191
0.095,0.188,190
0.516,0.673,190
0.539,0.729,190
0.616,0.509,190
0.673,0.21,190
0.696,0.594,190
0.748,0.371,190
0.811,0.341,190
0.331,0.187,189
0.399,0.163,189
0.591,0.429,189
0.628,0.297,189
0.632,0.703,189
0.712,0.543,189
0.716,0.336,189
0.738,0.367,189
0.761,0.294,189
0.778,0.865,189
0.79,0.543,189
0.418,0.207,188
0.423,0.91,188
0.485,0.593,188
0.681,0.432,188
0.687,0.839,188
0.886,0.481,188
0.971,0.531,188
0.17,0.392,187
0.413,0.483,187
0.431,0.249,187
0.447,0.803,187
0.633,0.379,187
0.662,0.426,187
0.669,0.69,187
0.809,0.907,187
0.708,0.914,186
0.709,0.26,186
0.712,0.519,186
0.794,0.975,186
0.859,0.786,186
0.863,0.678,186
0.381,0.304,185
0.545,0.461,185
0.616,0.693,185
0.637,0.523,185
0.645,0.307,185
0.736,0.659,185
0.915,0.871,185
0.355,0.256,184
0.405,0.411,184
0.415,0.488,184
0.44,0.225,184
0.493,0.396,184
0.501,0.355,184
0.635,0.7,184
0.678,0.583,184
0.679,0.974,184
0.694,0.783,184
0.718,0.792,184
0.725,0.68,184
0.803,0.493,184
0.806,0.872,184
0.858,0.964,184
0.429,0.278,183
0.453,0.351,183
0.482,0.261,183
0.549,0.408,183
0.571,0.529,183
0.599,0.439,183
0.607,0.392,183
0.668,0.716,183
0.701,0.595,183
0.704,0.576,183
0.721,0.532,183
0.417,0.158,182
0.427,0.642,182
0.565,0.409,182
0.693,0.567,182
0.698,0.286,182
0.711,0.582,182
0.715,0.52,182
0.743,0.768,182
0.88,0.894,182
0.572,0.373,181
0.71,0.73,181
0.78,0.448,181
0.784,0.769,181
0.881,0.941,181
0.893,0.842,181
0.499,0.67,180
0.566,0.642,180
0.569,0.465,180
0.571,0.329,180
0.571,0.547,180
0.607,0.635,180
0.625,0.361,180
0.66,0.65,180
0.677,0.683,180
0.734,0.797,180
0.19,0.298,179
0.438,0.386,179
0.587,0.697,179
0.621,0.358,179
0.703,0.721,179
0.74,0.651,179
0.884,0.501,179
0.458,0.456,178
0.572,0.238,178
0.592,0.726,178
0.738,0.546,178
0.792,0.941,178
0.85,0.711,178
0.869,0.525,178
0.186,0.511,177
0.344,0.398,177
0.366,0.715,177
0.428,0.503,177
0.458,0.299,177
0.64,0.569,177
0.686,0.557,177
0.711,0.487,177
0.743,0.516,177
0.748,0.917,177
0.789,0.764,177
0.823,0.479,177
0.853,0.707,177
0.554,0.719,176
0.568,0.243,176
0.59,0.632,176
0.613,0.681,176
0.644,0.567,176
0.67,0.337,176
0.805,0.589,176
0.349,0.481,175
0.584,0.751,175
0.609,0.405,175
0.647,0.51,175
0.67,0.436,175
0.831,0.529,175
0.878,0.358,175
0.922,0.882,175
0.989,0.223,175
0.184,0.288,174
0.517,0.362,174
0.73,0.294,174
0.793,0.411,174
0.438,0.508,173
0.553,0.604,173
0.571,0.726,173
0.634,0.263,173
0.725,0.972,173
0.738,0.64,173
0.857,0.816,173
0.882,0.853,173
0.919,0.973,173
0.5,0.127,172
0.511,0.652,172
0.513,0.382,172
0.55,0.201,172
0.695,0.153,172
0.754,0.51,172
0.804,0.904,172
0.848,0.524,172
0.354,0.144,171
0.384,0.533,171
0.62,0.172,171
0.664,0.672,171
0.792,0.679,171
0.855,0.813,171
0.37,0.455,170
0.38,0.259,170
0.47,0.426,170
0.482,0.392,170
0.519,0.415,170
0.544,0.197,170
0.568,0.42,170
0.621,0.615,170
0.717,0.494,170
0.738,0.535,170
0.74,0.841,170
0.776,0.696,170
0.847,0.399,170
0.87,0.184,170
0.918,0.513,170
0.526,0.529,169
0.572,0.644,169
0.593,0.223,169
0.622,0.567,169
0.626,0.794,169
0.758,0.727,169
0.978,0.777,169
0.361,0.204,168
0.512,0.155,168
0.556,0.406,168
0.558,0.292,168
0.594,0.636,168
0.796,0.315,168
0.81,0.29,168
0.34,0.36,167
0.42,0.328,167
0.564,0.549,167
0.567,0.97,167
0.572,0.288,167
0.662,0.638,167
0.699,0.612,167
0.748,0.406,167
0.847,0.884,167
0.883,0.966,167
0.37,0.249,166
0.427,0.443,166
0.439,0.538,166
0.453,0.35,166
0.548,0.437,166
0.615,0.634,166
0.615,0.952,166
0.668,0.567,166
0.747,0.499,166
0.76,0.397,166
0.8,0.718,166
